id_venta,fecha,rut_cliente,id_producto,cantidad,monto_neto,canal,vendedor,tipo_documento
F-014701,2025-10-06,725374928,SKU-1039,31,402690,Tienda,NULL,VENTA
F-004492,2025-10-08,75.804.200-K,SKU-1022,43,150070,Ecommerce,V-01,VENTA
F-014240,2025-09-14,716344818,SKU-1027,21,41790,Distribuidor,V-05,VENTA
F-013406,2025-09-19,79738017-0,SKU-1033,32,799680,Tienda,V-01,VENTA
F-003282,2025-02-08,764975844,SKU-1005,45,89550,Distribuidor,NULL,VENTA
F-005995,22/09/25,75.346.013-K,SKU-1028,32,111680,Televenta,V-03,VENTA
F-006820,2025-06-17,78536702-7,SKU-1008,57,512430,Televenta,V-05,VENTA
F-014191,17-09-2025,79126480-2,SKU-1026,22,1099780,Ecommerce,V-03,VENTA
F-012689,2025-05-21,72573458-4,SKU-1017,35,314650,Televenta,V-03,VENTA
F-014109,11-10-2025,79808856-2,SKU-1023,27,350730,NULL,V-02,VENTA
F-002679,13-08-2025,789809806,SKU-1039,36,1799640,Tienda,V-01,VENTA
F-002480,18-11-2025,76124429-6,SKU-1019,44,87560,Tienda,V-04,VENTA
F-006554,07-08-2025,78980980-6,SKU-1033,59,1474410,Ecommerce,V-02,VENTA
F-001287,2025-12-10,76.502.858-K,SKU-1005,58,753420,Ecommerce,V-06,VENTA
F-014163,2025-01-19,72354411-7,SKU-1004,38,949620,Televenta,V-03,VENTA
F-009362,2025-11-21,76.476.979-9,SKU-1016,46,160540,Televenta,V-01,VENTA
F-011450,10/05/25,775778335,SKU-1006,41,532590,Distribuidor,V-02,VENTA
F-008215,2025-03-14,736605895,SKU-1019,45,89550,Ecommerce,V-03,VENTA
F-013332,20-07-2025,78536702-7,SKU-1026,55,2749450,Ecommerce,V-01,VENTA
F-012797,2025-12-18,78980980-6,SKU-1005,1,3490,Ecommerce,V-01,VENTA
F-009176,2025-04-15,77.521.545-4,SKU-1013,12,71880,Televenta,V-01,VENTA
F-002619,2025-12-03,77.185.397-9,SKU-1002,41,81590,Ecommerce,V-03,VENTA
F-002491,2025-07-28,78536702-7,SKU-1021,20,69800,Tienda,V-03,VENTA
F-006676,2025-10-22,77.185.397-9,SKU-1029,35,1749650,Tienda,NULL,VENTA
F-005932,2025-01-09,79.738.017-0,SKU-1015,10,499900,Distribuidor,V-02,VENTA
F-012574,22/06/25,79126480-2,SKU-1036,2,17980,Televenta,V-02,VENTA
F-002130,15/04/25,76502858-K,SKU-1025,6,149940,Distribuidor,V-06,VENTA
F-004870,2025-10-12,71634481-8,SKU-1032,54,323460,Televenta,V-04,VENTA
F-012885,28/02/25,75804200K,SKU-1013,4,23960,Tienda,V-05,VENTA
F-003604,2025-09-22,764769799,SKU-1013,40,139600,Tienda,V-04,VENTA
F-009623,2025-06-19,76.476.979-9,SKU-1003,56,503440,Tienda,V-03,VENTA
F-014548,2025-01-22,725374928,SKU-1020,59,2949410,Tienda,V-06,VENTA
F-011932,2025-08-14,79126480-2,SKU-1025,7,349930,Televenta,V-05,VENTA
F-003829,25/06/25,75.173.072-5,SKU-1011,12,155880,Distribuidor,V-04,VENTA
F-009208,2025-09-05,76.476.979-9,SKU-1034,14,"181860,00",Televenta,V-03,VENTA
F-002262,2025-12-03,78.536.702-7,SKU-1027,25,49750,Tienda,V-04,VENTA
F-008926,2025-12-26,76502858-K,SKU-1039,27,1349730,Ecommerce,V-05,VENTA
F-006575,2025-09-05,71.634.481-8,SKU-1001,52,2599480,Ecommerce,V-02,VENTA
F-000362,2025-01-24,72.048.560-8,SKU-1004,44,263560,Televenta,V-05,VENTA
F-011439,30/01/25,72048560-8,SKU-1025,7,13930,Distribuidor,V-02,VENTA
F-006920,16/08/25,76497584-4,SKU-1003,41,532590,Distribuidor,V-05,VENTA
F-010012,10/03/25,77577833-5,SKU-1038,23,80270,Distribuidor,V-01,VENTA
F-006392,2025-05-27,771853979,SKU-1005,57,2849430,Distribuidor,V-05,VENTA
F-001770,08/01/25,76068682-1,SKU-1004,53,184970,Distribuidor,V-05,VENTA
F-003005,08/05/25,76.124.429-6,SKU-1039,8,47920,Televenta,V-03,VENTA
F-005690,17-09-2025,79126480-2,SKU-1012,24,83760,Televenta,V-02,VENTA
F-014148,08/09/25,78.980.980-6,SKU-1021,12,71880,Ecommerce,V-01,VENTA
F-012173,19-12-2025,789343912,SKU-1008,32,1599680,Televenta,V-06,VENTA
F-004457,15/09/25,75346013-k,SKU-1012,13,116870,Distribuidor,V-01,VENTA
F-006312,01/08/25,73584180-3,SKU-1021,11,21890,Televenta,NULL,VENTA
F-010725,15-06-2025,751730725,SKU-1013,10,129900,Ecommerce,V-05,VENTA
F-008088,2025-11-12,78934391-2,SKU-1006,15,29850,Tienda,V-03,VENTA
F-002309,2025-12-21,71634481-8,SKU-1005,42,1049580,Distribuidor,V-05,VENTA
F-014578,07-01-2025,72537492-8,SKU-1035,40,519600,Televenta,V-02,VENTA
F-001321,04/02/25,77185397-9,SKU-1002,47,610530,Tienda,V-03,VENTA
F-012257,2025-09-14,78.934.391-2,SKU-1031,22,549780,Televenta,V-06,VENTA
F-000654,2025-06-30,72.573.458-4,SKU-1009,13,116870,Televenta,V-02,VENTA
F-001301,2025-03-14,71275970-3,SKU-1001,5,64950,Tienda,V-01,VENTA
F-001640,05-09-2025,76.497.584-4,SKU-1040,14,181860,Distribuidor,V-01,VENTA
F-007605,24/03/25,72.048.560-8,SKU-1032,34,67660,Ecommerce,V-01,VENTA
F-013422,2025-11-28,77.185.397-9,SKU-1018,41,2049590,Televenta,V-04,VENTA
F-006848,22-12-2025,76497584-4,SKU-1006,2,99980,Televenta,V-01,VENTA
F-002603,2025-03-22,71.275.970-3,SKU-1017,18,35820,Ecommerce,V-05,VENTA
F-004133,2025-06-11,76.124.429-6,SKU-1040,6,-149940,Distribuidor,V-06,VENTA
F-013287,21-06-2025,75346013K,SKU-1021,58,2899420,Distribuidor,V-01,VENTA
F-013589,2025-08-14,73.660.589-5,SKU-1034,21,-73290,Televenta,V-04,VENTA
F-003461,24-12-2025,72.354.411-7,SKU-1007,41,2049590,Distribuidor,V-02,VENTA
F-014728,17/08/25,72.573.458-4,SKU-1013,13,25870,Distribuidor,V-02,VENTA
F-008674,2025-05-26,75346013-K,SKU-1039,7,349930,Distribuidor,V-02,VENTA
F-002696,2025-07-09,75.804.200-K,SKU-1029,39,233610,Tienda,V-05,VENTA
F-004845,2025-05-11,79.126.480-2,SKU-1039,48,1199520,Ecommerce,V-04,VENTA
F-007848,12-09-2025,75804200K,SKU-1009,49,440510,Televenta,V-01,VENTA
F-002680,2025-03-23,764975844,SKU-1023,5,9950,Distribuidor,V-01,VENTA
F-002396,02/07/25,76.068.682-1,SKU-1025,43,1074570,Tienda,V-06,VENTA
F-009065,2025-04-26,75346013-K,SKU-1019,10,89900,Ecommerce,NULL,VENTA
F-000957,2025-02-21,76.476.979-9,SKU-1006,45,2249550,Ecommerce,V-02,VENTA
F-007685,04/05/25,79126480-2,SKU-1023,12,155880,Ecommerce,V-04,VENTA
F-011515,2025-06-16,72573458-4,SKU-1013,26,1299740,Ecommerce,V-04,VENTA
F-004926,21-05-2025,79.126.480-2,SKU-1004,22,1099780,Tienda,NULL,VENTA
F-012690,03/10/25,72537492-8,SKU-1040,35,69650,Ecommerce,V-02,VENTA
F-001442,23-10-2025,76.502.858-K,SKU-1036,13,45370,Distribuidor,V-01,VENTA
F-007419,2025-03-19,716344818,SKU-1022,40,519600,Ecommerce,NULL,VENTA
F-003084,2025-09-04,78536702-7,SKU-1016,27,350730,Distribuidor,V-04,VENTA
F-008018,19-06-2025,76502858K,SKU-1033,45,1124550,Distribuidor,V-05,VENTA
F-008489,2025-05-26,75173072-5,SKU-1010,7,24430,Ecommerce,V-06,VENTA
F-002101,2025-12-22,77.577.833-5,SKU-1037,43,1074570,Tienda,V-02,VENTA
F-004603,2025-03-23,72.354.411-7,SKU-1025,56,335440,Distribuidor,V-02,VENTA
F-002200,2025-04-07,79126480-2,SKU-1014,42,377580,Distribuidor,V-03,VENTA
F-010489,2025-09-20,79.808.856-2,SKU-1030,38,341620,Distribuidor,V-01,VENTA
F-009467,2025-03-24,77521545-4,SKU-1009,41,81590,Distribuidor,V-04,VENTA
F-013941,2025-02-07,76068682-1,SKU-1017,1,24990,Tienda,V-01,VENTA
F-002675,2025-02-09,77577833-5,SKU-1022,41,143090,Televenta,V-03,VENTA
F-007587,31-08-2025,71275970-3,SKU-1026,17,59330,Ecommerce,V-01,VENTA
F-003605,2025-03-27,75346013-K,SKU-1007,16,95840,Televenta,V-01,VENTA
F-007773,10/11/25,76497584-4,SKU-1037,15,749850,Tienda,V-01,VENTA
F-001790,2025-05-01,76068682-1,SKU-1036,11,38390,Televenta,V-05,VENTA
F-009889,2025-01-06,76497584-4,SKU-1031,26,51740,Tienda,NULL,VENTA
F-006346,2025-11-26,725734584,SKU-1009,42,377580,Televenta,V-04,VENTA
F-012675,04/04/25,75346013-K,SKU-1015,43,386570,Televenta,NULL,VENTA
F-013329,2025-07-21,71634481-8,SKU-1026,24,83760,Distribuidor,V-05,VENTA
F-005892,2025-09-15,72.573.458-4,SKU-1018,38,75620,Ecommerce,V-06,VENTA
F-013631,14-02-2025,78934391-2,SKU-1001,52,181480,NULL,V-03,VENTA
F-000976,2025-11-17,72.573.458-4,SKU-1019,16,55840,Distribuidor,V-04,VENTA
F-001648,28-04-2025,72537492-8,SKU-1021,6,11940,Tienda,V-02,VENTA
F-002299,2025-12-01,76.502.858-K,SKU-1039,46,275540,Ecommerce,V-04,VENTA
F-008155,20-12-2025,72573458-4,SKU-1026,38,227620,Tienda,V-06,VENTA
F-010576,2025-12-20,76.502.858-K,SKU-1035,43,150070,Distribuidor,V-06,VENTA
F-002537,12/06/25,760686821,SKU-1040,16,31840,Televenta,V-04,VENTA
F-008051,2025-03-01,76476979-9,SKU-1022,22,43780,Tienda,NULL,VENTA
F-004906,2025-01-08,736605895,SKU-1035,10,19900,Distribuidor,V-06,VENTA
F-004687,2025-07-21,71.275.970-3,SKU-1027,27,674730,Ecommerce,V-03,VENTA
F-008965,2025-11-21,72.048.560-8,SKU-1015,35,1749650,Tienda,V-06,VENTA
F-013545,23/10/25,73584180-3,SKU-1033,7,62930,Ecommerce,V-02,VENTA
F-013276,2025-06-07,775215454,SKU-1017,38,1899620,Ecommerce,V-01,VENTA
F-009113,15-09-2025,72048560-8,SKU-1021,55,191950,Televenta,V-02,VENTA
F-003963,2025-05-06,76.068.682-1,SKU-1028,60,359400,Tienda,V-03,VENTA
F-008917,2025-05-19,75173072-5,SKU-1003,15,52350,Tienda,V-01,VENTA
F-000993,29/04/25,79126480-2,SKU-1015,40,79600,Ecommerce,V-03,VENTA
F-000339,2025-09-04,77577833-5,SKU-1020,30,104700,Distribuidor,V-02,VENTA
F-001280,2025-11-01,71.634.481-8,SKU-1027,12,599880,Distribuidor,V-06,VENTA
F-000562,2025-03-16,73.584.180-3,SKU-1017,4,35960,Televenta,V-04,VENTA
F-013340,2025-01-08,72.048.560-8,SKU-1022,54,107460,Televenta,NULL,VENTA
F-010896,14-02-2025,78.536.702-7,SKU-1014,24,83760,Televenta,V-03,VENTA
F-004843,28-07-2025,72048560-8,SKU-1020,43,150070,Ecommerce,V-06,VENTA
F-006691,29/07/25,76497584-4,SKU-1014,38,341620,Tienda,V-06,VENTA
F-001649,2025-01-09,79.808.856-2,SKU-1017,59,1474410,Distribuidor,V-05,VENTA
F-007358,2025-03-20,77521545-4,SKU-1021,11,142890,Ecommerce,V-04,VENTA
F-010244,23-02-2025,797380170,SKU-1035,23,298770,Tienda,V-03,VENTA
F-013103,2025-09-03,76497584-4,SKU-1007,55,714450,Distribuidor,V-02,VENTA
F-000346,16-10-2025,76.068.682-1,SKU-1002,25,49750,Televenta,V-01,VENTA
F-014505,2025-01-05,79.808.856-2,SKU-1026,13,77870,Ecommerce,V-03,VENTA
F-003617,24-09-2025,72048560-8,SKU-1040,50,449500,Tienda,V-06,VENTA
F-000709,2025-11-28,71275970-3,SKU-1018,4,35960,Ecommerce,V-06,VENTA
F-006540,2025-04-02,78980980-6,SKU-1012,28,1399720,Ecommerce,V-01,VENTA
F-012846,2025-04-24,71634481-8,SKU-1029,37,1849630,Distribuidor,V-01,VENTA
F-012298,2025-02-14,78934391-2,SKU-1022,56,111440,Distribuidor,V-01,VENTA
F-013743,16-06-2025,71634481-8,SKU-1012,17,59330,Distribuidor,V-02,VENTA
F-011486,11-02-2025,78.980.980-6,SKU-1037,11,21890,Ecommerce,V-04,VENTA
F-009568,2025-06-19,79.126.480-2,SKU-1026,35,874650,Distribuidor,V-01,VENTA
F-013363,2025-03-16,723544117,SKU-1025,41,1024590,Distribuidor,V-02,VENTA
F-003291,2025-02-09,76.124.429-6,SKU-1040,38,341620,Televenta,V-06,VENTA
F-007430,2025-12-06,72354411-7,SKU-1024,47,2349530,Ecommerce,V-01,VENTA
F-014339,2025-11-20,77.521.545-4,SKU-1038,1,49990,Tienda,V-02,VENTA
F-005899,25/08/25,71275970-3,SKU-1026,7,174930,Distribuidor,V-04,VENTA
F-014273,2025-06-23,76502858-K,SKU-1021,29,260710,NULL,V-02,VENTA
F-009960,2025-06-18,71634481-8,SKU-1002,46,597540,Televenta,V-01,VENTA
F-008212,2025-01-08,71.275.970-3,SKU-1028,59,205910,Distribuidor,V-04,VENTA
F-003012,2025-04-18,73.584.180-3,SKU-1012,20,499800,Tienda,V-04,VENTA
F-003528,20/09/25,71.634.481-8,SKU-1015,47,1174530,Ecommerce,V-04,VENTA
F-005406,23-10-2025,77.185.397-9,SKU-1004,48,95520,Distribuidor,V-06,VENTA
F-006092,2025-05-08,79808856-2,SKU-1022,33,-197670,Televenta,V-01,VENTA
F-004245,31/05/25,76.068.682-1,SKU-1004,23,45770,Ecommerce,V-01,VENTA
F-012962,15-07-2025,76.497.584-4,SKU-1016,28,167720,Tienda,V-02,VENTA
F-012607,27-01-2025,73.660.589-5,SKU-1002,59,117410,Ecommerce,V-05,VENTA
F-001420,2025-05-30,76.068.682-1,SKU-1032,3,17970,Distribuidor,V-06,VENTA
F-003123,04/12/25,76.497.584-4,SKU-1021,4,51960,Distribuidor,V-03,VENTA
F-002407,2025-04-04,75346013-k,SKU-1003,46,597540,Distribuidor,V-06,VENTA
F-001471,25-01-2025,76.497.584-4,SKU-1015,11,549890,Ecommerce,V-04,VENTA
F-009190,2025-10-31,73584180-3,SKU-1012,25,87250,Ecommerce,V-06,VENTA
F-006747,17/02/25,712759703,SKU-1011,1,12990,Ecommerce,V-05,VENTA
F-005189,13/10/25,79.808.856-2,SKU-1016,39,506610,Televenta,V-04,VENTA
F-000631,20-08-2025,78980980-6,SKU-1001,19,113810,Distribuidor,V-03,VENTA
F-011294,2025-03-24,73584180-3,SKU-1012,17,849830,Tienda,V-06,VENTA
F-004551,2025-03-21,79.738.017-0,SKU-1020,19,246810,Distribuidor,V-01,VENTA
F-004884,30-03-2025,78.536.702-7,SKU-1004,25,149750,Ecommerce,V-06,VENTA
F-000992,2025-12-09,72354411-7,SKU-1011,13,649870,Distribuidor,V-06,VENTA
F-003119,2025-02-01,761244296,SKU-1011,38,227620,Ecommerce,V-03,VENTA
F-001657,2025-09-22,77.521.545-4,SKU-1002,32,111680,Televenta,V-02,VENTA
F-000581,2025-01-17,75346013-K,SKU-1030,1,8990,Ecommerce,V-02,VENTA
F-000533,31-05-2025,75.173.072-5,SKU-1030,8,199920,Tienda,V-02,VENTA
F-011273,2025-09-17,76124429-6,SKU-1036,52,311480,Distribuidor,V-01,VENTA
F-008382,22-02-2025,72.354.411-7,SKU-1039,3,-149970,Tienda,V-02,VENTA
F-011973,2025-07-12,73660589-5,SKU-1011,53,688470,Distribuidor,V-01,VENTA
F-012919,2025-10-01,77.521.545-4,SKU-1018,41,532590,Tienda,V-06,VENTA
F-000047,2025-10-10,76124429-6,SKU-1006,37,73630,Tienda,V-06,VENTA
F-008894,2025-02-04,76497584-4,SKU-1029,11,21890,NULL,V-05,VENTA
F-006241,03-09-2025,77.577.833-5,SKU-1006,28,97720,Televenta,V-01,VENTA
F-005675,01-06-2025,75173072-5,SKU-1008,37,480630,Televenta,V-01,VENTA
F-001484,2025-09-24,78.934.391-2,SKU-1019,21,1049790,Televenta,V-01,VENTA
F-007096,2025-01-24,764975844,SKU-1019,59,205910,Distribuidor,V-03,VENTA
F-014226,01-01-2025,79126480-2,SKU-1039,2,17980,Televenta,V-05,VENTA
F-007727,24-09-2025,79126480-2,SKU-1017,50,649500,NULL,V-01,VENTA
F-007008,2025-07-26,76124429-6,SKU-1023,26,1299740,Tienda,V-02,VENTA
F-007930,2025-05-30,78536702-7,SKU-1009,8,27920,Televenta,V-04,VENTA
F-002161,06-10-2025,78.980.980-6,SKU-1012,46,1149540,Televenta,V-02,VENTA
F-013969,2025-04-06,76502858-K,SKU-1017,15,134850,Ecommerce,NULL,VENTA
F-004388,15-04-2025,79738017-0,SKU-1011,35,454650,Tienda,V-06,VENTA
F-004679,11-05-2025,77.521.545-4,SKU-1007,42,1049580,Televenta,V-05,VENTA
F-000526,09-05-2025,78.934.391-2,SKU-1005,50,174500,Ecommerce,V-04,VENTA
F-013185,27-11-2025,76502858K,SKU-1012,47,422530,Televenta,V-04,VENTA
F-011512,10/06/25,789343912,SKU-1011,21,-41790,Distribuidor,V-02,VENTA
F-009895,01-06-2025,78.536.702-7,SKU-1005,32,287680,Distribuidor,V-05,VENTA
F-005989,2025-06-28,72.048.560-8,SKU-1020,58,521420,Televenta,V-03,VENTA
F-001700,17-11-2025,76.502.858-K,SKU-1010,39,350610,Televenta,V-01,VENTA
F-005603,2025-11-22,764769799,SKU-1004,41,245590,Tienda,V-05,VENTA
F-003809,2025-12-24,71634481-8,SKU-1005,18,449820,Tienda,V-05,VENTA
F-009160,2025-11-26,79.808.856-2,SKU-1006,3,26970,Distribuidor,V-04,VENTA
F-009404,13/01/25,76.502.858-K,SKU-1023,20,179800,Ecommerce,V-03,VENTA
F-001781,2025-10-30,77577833-5,SKU-1014,24,143760,Distribuidor,V-01,VENTA
F-006134,2025-11-23,78934391-2,SKU-1040,17,101830,Televenta,V-01,VENTA
F-013778,24-08-2025,771853979,SKU-1004,2,6980,Televenta,NULL,VENTA
F-008326,2025-11-24,71.275.970-3,SKU-1040,15,89850,Televenta,V-02,VENTA
F-007249,2025-07-12,75804200K,SKU-1002,40,79600,Televenta,V-04,VENTA
F-009005,2025-10-20,79126480-2,SKU-1027,40,79600,Televenta,V-05,VENTA
F-006539,2025-05-27,75346013K,SKU-1005,57,113430,NULL,V-04,VENTA
F-000938,14-03-2025,71.634.481-8,SKU-1026,14,48860,Tienda,V-04,VENTA
F-000872,2025-09-05,77185397-9,SKU-1020,5,29950,Tienda,V-02,VENTA
F-014414,2025-03-10,75804200K,SKU-1016,59,530410,Tienda,V-01,VENTA
F-007315,2025-11-22,73.660.589-5,SKU-1040,50,99500,Tienda,V-04,VENTA
F-013338,26-09-2025,712759703,SKU-1009,48,623520,Ecommerce,V-05,VENTA
F-005614,13/09/25,75.346.013-K,SKU-1029,53,688470,Ecommerce,V-03,VENTA
F-013945,10/10/25,72048560-8,SKU-1029,51,458490,Tienda,V-02,VENTA
F-011782,2025-03-21,79.738.017-0,SKU-1034,44,263560,Distribuidor,V-06,VENTA
F-007563,2025-04-25,77521545-4,SKU-1027,10,89900,Distribuidor,NULL,VENTA
F-014513,19-06-2025,72048560-8,SKU-1002,56,727440,Ecommerce,V-02,VENTA
F-012120,11-11-2025,79.126.480-2,SKU-1036,2,6980,Ecommerce,V-04,VENTA
F-004532,2025-04-15,79.126.480-2,SKU-1020,50,1249500,Tienda,V-02,VENTA
F-013821,2025-08-15,77521545-4,SKU-1018,59,2949410,Distribuidor,V-03,VENTA
F-007007,2025-12-12,723544117,SKU-1025,20,39800,Televenta,V-01,VENTA
F-001146,2025-12-03,76.068.682-1,SKU-1037,57,1424430,Televenta,V-04,VENTA
F-014425,25-07-2025,76476979-9,SKU-1009,12,71880,Ecommerce,V-03,VENTA
F-012554,2025-08-14,75.804.200-K,SKU-1035,26,1299740,Televenta,V-05,VENTA
F-003793,2025-10-25,78980980-6,SKU-1018,17,33830,Distribuidor,V-05,VENTA
F-011394,07-05-2025,72.537.492-8,SKU-1012,41,245590,Ecommerce,V-01,VENTA
F-012520,2025-01-21,723544117,SKU-1001,34,305660,Televenta,V-03,VENTA
F-002032,06-07-2025,71.634.481-8,SKU-1033,5,17450,Ecommerce,V-04,VENTA
F-008794,2025-04-23,78980980-6,SKU-1031,51,2549490,Ecommerce,NULL,VENTA
F-011485,2025-08-13,75173072-5,SKU-1035,25,224750,Ecommerce,V-05,VENTA
F-008199,2025-04-06,78.536.702-7,SKU-1017,14,83860,Televenta,V-02,VENTA
F-001941,08-12-2025,78536702-7,SKU-1025,15,29850,Ecommerce,V-05,VENTA
F-000713,2025-02-28,72.354.411-7,SKU-1017,18,233820,Televenta,V-01,VENTA
F-012491,2025-11-09,76.502.858-K,SKU-1018,20,499800,Tienda,V-04,VENTA
F-007141,2025-03-23,76.476.979-9,SKU-1006,13,168870,Tienda,V-05,VENTA
F-007437,2025-03-22,71.275.970-3,SKU-1016,57,113430,Tienda,V-06,VENTA
F-012383,2025-06-04,73.660.589-5,SKU-1025,4,51960,Tienda,V-03,VENTA
F-000015,05-08-2025,736605895,SKU-1011,32,191680,Tienda,V-04,VENTA
F-001440,13-04-2025,76502858-K,SKU-1018,53,317470,Tienda,V-01,VENTA
F-006605,2025-02-16,72.573.458-4,SKU-1016,1,3490,Distribuidor,V-04,VENTA
F-007753,26-11-2025,75.346.013-K,SKU-1010,6,77940,Televenta,V-05,VENTA
F-011340,2025-06-12,72.573.458-4,SKU-1002,58,1449420,Televenta,V-03,VENTA
F-013346,2025-06-30,76476979-9,SKU-1016,10,19900,Distribuidor,V-04,VENTA
F-001123,17/03/25,72573458-4,SKU-1033,26,90740,Ecommerce,V-02,VENTA
F-007191,01-09-2025,77577833-5,SKU-1007,58,202420,Televenta,V-04,VENTA
F-005211,2025-12-17,75346013-K,SKU-1033,28,167720,Televenta,V-05,VENTA
F-006228,07-11-2025,79.808.856-2,SKU-1017,56,1399440,Tienda,V-03,VENTA
F-008922,2025-06-20,72.048.560-8,SKU-1032,8,399920,Tienda,V-01,VENTA
F-005163,2025-04-24,771853979,SKU-1033,31,402690,Distribuidor,V-02,VENTA
F-009863,2025-08-30,76.497.584-4,SKU-1014,24,83760,Tienda,V-04,VENTA
F-003647,2025-05-15,77521545-4,SKU-1033,5,17450,Tienda,V-02,VENTA
F-004305,2025-03-15,73584180-3,SKU-1040,52,675480,Distribuidor,V-06,VENTA
F-001240,2025-07-01,775215454,SKU-1005,27,350730,NULL,V-05,VENTA
F-003108,13-03-2025,72573458-4,SKU-1010,22,549780,Tienda,V-04,VENTA
F-001726,2025-04-25,72.354.411-7,SKU-1010,25,624750,Tienda,V-04,VENTA
F-012896,2025-03-05,72573458-4,SKU-1036,44,87560,Ecommerce,V-01,VENTA
F-012069,14-03-2025,79738017-0,SKU-1008,40,139600,Televenta,V-04,VENTA
F-010775,2025-03-18,73.660.589-5,SKU-1037,43,558570,Distribuidor,V-06,VENTA
F-001111,2025-05-21,78934391-2,SKU-1026,20,39800,Distribuidor,V-04,VENTA
F-003439,17-01-2025,78.980.980-6,SKU-1006,14,699860,Ecommerce,V-03,VENTA
F-007035,28-06-2025,75346013-K,SKU-1034,41,532590,Tienda,V-04,VENTA
F-004456,29-09-2025,771853979,SKU-1030,46,91540,NULL,V-02,VENTA
F-013593,2025-10-06,720485608,SKU-1011,13,324870,Ecommerce,V-04,VENTA
F-000959,09-02-2025,725374928,SKU-1035,60,119400,Televenta,V-02,VENTA
F-006952,2025-02-26,716344818,SKU-1029,24,599760,Televenta,V-04,VENTA
F-008094,2025-03-27,78.980.980-6,SKU-1011,18,161820,Tienda,V-02,VENTA
F-014630,2025-01-15,76502858-K,SKU-1021,9,-31410,Distribuidor,V-06,VENTA
F-009717,2025-05-13,77.577.833-5,SKU-1011,48,623520,Ecommerce,V-06,VENTA
F-014769,2025-08-23,78934391-2,SKU-1037,20,39800,NULL,V-01,VENTA
